model,pathway,reaction,flux,flux_as_written,orientation,biomass_flux,experimental_flux
iBsu1147,TCA,FUM,4.3987541372038015,-4.3987541372038015,-1.0,0.552604257214426,2.638
iBsu1147,TCA,MDH,4.3987541372038015,4.3987541372038015,1.0,0.552604257214426,1.878
iBsu1147,TCA,PDH,10.568408502988477,10.568408502988477,1.0,0.552604257214426,7.405
iBsu1147,TCA,PC,1.08003852401459,1.08003852401459,1.0,0.552604257214426,3.504
iBsu1147,PPP,G6PDH2r,0.0,0.0,1.0,0.552604257214426,3.297
iBsu1147,PPP,PGL,0.0,0.0,1.0,0.552604257214426,3.297
iBsu1147,PPP,GND,0.0,0.0,1.0,0.552604257214426,3.297
iBsu1147,PPP,RPI,0.14729972581971834,-0.14729972581971834,-1.0,0.552604257214426,1.451
iBsu1147,PPP,RPE,-0.14729972581971834,-0.14729972581971834,1.0,0.552604257214426,1.846
iBsu1147,PPP,TKT1,-0.07364986290985964,0.07364986290985964,-1.0,0.552604257214426,1.055
iBsu1147,PPP,TALA,-0.07364986290985964,-0.07364986290985964,1.0,0.552604257214426,1.055
iBsu1147,PPP,TKT2,-0.07364986290985964,0.07364986290985964,-1.0,0.552604257214426,0.791
eciYO844,EMP,GLCpts,7.63,7.63,1.0,0.5662099997262331,7.63
eciYO844,EMP,PGI,4.872764187059364,4.872764187059364,1.0,0.5662099997262331,4.159
eciYO844,EMP,PFK,6.200077674573463,6.200077674573463,1.0,0.5662099997262331,6.005
eciYO844,EMP,FBA,6.200077674573463,6.200077674573463,1.0,0.5662099997262331,6.005
eciYO844,EMP,TPI,5.856861556299409,5.856861556299409,1.0,0.5662099997262331,6.005
eciYO844,EMP,GAPD,12.73642890485227,12.73642890485227,1.0,0.5662099997262331,11.577
eciYO844,EMP,PGK,12.73642890485227,12.73642890485227,1.0,0.5662099997262331,11.577
eciYO844,EMP,PGM,12.18495338794893,12.18495338794893,1.0,0.5662099997262331,11.577
eciYO844,EMP,ENO,12.18495338794893,12.18495338794893,1.0,0.5662099997262331,11.577
eciYO844,EMP,PYK,4.110319433153915,4.110319433153915,1.0,0.5662099997262331,3.944
eciYO844,TCA,CS,4.427640000000001,4.427640000000001,1.0,0.5662099997262331,
eciYO844,TCA,ACONT,4.427640000000001,4.427640000000001,1.0,0.5662099997262331,3.353
eciYO844,TCA,ICDHyr,4.427640000000001,4.427640000000001,1.0,0.5662099997262331,3.353
eciYO844,TCA,AKGDH,3.8745513508074243,3.8745513508074243,1.0,0.5662099997262331,2.638
eciYO844,TCA,SUCOAS,3.5954194465123868,-3.5954194465123868,-1.0,0.5662099997262331,2.638
eciYO844,TCA,SUCD1,3.8745513508074243,3.8745513508074243,1.0,0.5662099997262331,2.638
eciYO844,TCA,FUM,4.190465389104642,4.190465389104642,1.0,0.5662099997262331,2.638
eciYO844,TCA,MDH,4.190465389104642,4.190465389104642,1.0,0.5662099997262331,1.878
eciYO844,TCA,PDH,8.639748944973062,8.639748944973062,1.0,0.5662099997262331,7.405
eciYO844,TCA,PC,1.4260146057705123,1.4260146057705123,1.0,0.5662099997262331,3.504
eciYO844,PPP,G6PDH2r,2.614768883859521,2.614768883859521,1.0,0.5662099997262331,3.297
eciYO844,PPP,PGL,2.614768883859521,2.614768883859521,1.0,0.5662099997262331,3.297
eciYO844,PPP,GND,2.614768883859521,2.614768883859521,1.0,0.5662099997262331,3.297
eciYO844,PPP,RPI,1.1023194478949363,-1.1023194478949363,-1.0,0.5662099997262331,1.451
eciYO844,PPP,RPE,1.5124494359645846,1.5124494359645846,1.0,0.5662099997262331,1.846
eciYO844,PPP,TKT1,0.8529707557955148,0.8529707557955148,1.0,0.5662099997262331,1.055
eciYO844,PPP,TALA,0.8529707557955148,0.8529707557955148,1.0,0.5662099997262331,1.055
eciYO844,PPP,TKT2,0.6594786801690697,0.6594786801690697,1.0,0.5662099997262331,0.791
iBB1018,EMP,GLCpts,7.63,7.63,1.0,0.6254471624919032,7.63
iBB1018,EMP,PGI,7.3700359515513005,7.3700359515513005,1.0,0.6254471624919032,4.159
iBB1018,EMP,PFK,6.949418881020259,6.949418881020259,1.0,0.6254471624919032,6.005
iBB1018,EMP,FBA,6.949418881020259,6.949418881020259,1.0,0.6254471624919032,6.005
iBB1018,EMP,TPI,6.554145481407966,6.554145481407966,1.0,0.6254471624919032,6.005
iBB1018,EMP,GAPD,13.323268209969873,13.323268209969873,1.0,0.6254471624919032,11.577
iBB1018,EMP,PGK,13.323268209969873,-13.323268209969873,-1.0,0.6254471624919032,11.577
iBB1018,EMP,PGM,12.398854858558614,12.398854858558614,1.0,0.6254471624919032,11.577
iBB1018,EMP,ENO,12.398854858558614,12.398854858558614,1.0,0.6254471624919032,11.577
iBB1018,EMP,PYK,4.2782938076858406,4.2782938076858406,1.0,0.6254471624919032,3.944
iBB1018,TCA,CS,4.877448893398361,4.877448893398361,1.0,0.6254471624919032,
iBB1018,TCA,ACONT,4.877448893398361,4.877448893398361,1.0,0.6254471624919032,3.353
iBB1018,TCA,ICDHyr,4.877448893398361,4.877448893398361,1.0,0.6254471624919032,3.353
iBB1018,TCA,AKGDH,4.266744020884121,4.266744020884121,1.0,0.6254471624919032,2.638
iBB1018,TCA,SUCOAS,4.1958547136823965,-4.1958547136823965,-1.0,0.6254471624919032,2.638
iBB1018,TCA,SUCD1,4.278948183731677,4.278948183731677,1.0,0.6254471624919032,2.638
iBB1018,TCA,FUM,4.6202016811475435,4.6202016811475435,1.0,0.6254471624919032,2.638
iBB1018,TCA,MDH,4.6202016811475435,4.6202016811475435,1.0,0.6254471624919032,1.878
iBB1018,TCA,PDH,8.824296341015494,8.824296341015494,1.0,0.6254471624919032,7.405
iBB1018,TCA,PC,1.223710538152001,1.223710538152001,1.0,0.6254471624919032,3.504
iBB1018,PPP,G6PDH2r,0.07623324033854506,0.07623324033854506,1.0,0.6254471624919032,3.297
iBB1018,PPP,PGL,0.07623324033854506,0.07623324033854506,1.0,0.6254471624919032,3.297
iBB1018,PPP,GND,0.07623324033854506,0.07623324033854506,1.0,0.6254471624919032,3.297
iBB1018,PPP,RPI,0.28975086944079453,-0.28975086944079453,-1.0,0.6254471624919032,1.451
iBB1018,PPP,RPE,-0.21351950544373693,-0.21351950544373693,1.0,0.6254471624919032,1.846
