Model,Glucose_uptake,Oxygen_uptake,Growth_rate
iYO844,1.5,27.0,0.10016014187750881
iYO844,1.5,27.75,0.10016014187750881
iYO844,1.5,28.5,0.10016014187750881
iYO844,1.5,29.25,0.10016014187750881
iYO844,1.5,30.0,0.10016014187750881
iYO844,1.875,0.0,0.0
iYO844,1.875,0.75,0.0
iYO844,1.875,1.5,0.011137035799925534
iYO844,1.875,2.25,0.03619536634975783
iYO844,1.875,3.0,0.061253696899590176
iYO844,1.875,3.75,0.07975743879557746
iYO844,1.875,4.5,0.09648077273658379
iYO844,1.875,5.25,0.11320410667759158
iYO844,1.875,6.0,0.12992744061859945
iYO844,1.875,6.75,0.13354685583667839
iYO844,1.875,7.5,0.1335468558366784
iYO844,1.875,8.25,0.1335468558366784
iYO844,1.875,9.0,0.1335468558366784
iYO844,1.875,9.75,0.1335468558366784
iYO844,1.875,10.5,0.1335468558366784
iYO844,1.875,11.25,0.1335468558366784
iYO844,1.875,12.0,0.1335468558366784
iYO844,1.875,12.75,0.1335468558366784
iYO844,1.875,13.5,0.1335468558366784
iYO844,1.875,14.25,0.1335468558366784
iYO844,1.875,15.0,0.1335468558366784
iYO844,1.875,15.75,0.1335468558366784
iYO844,1.875,16.5,0.1335468558366784
iYO844,1.875,17.25,0.1335468558366784
iYO844,1.875,18.0,0.1335468558366784
iYO844,1.875,18.75,0.1335468558366784
iYO844,1.875,19.5,0.1335468558366784
iYO844,1.875,20.25,0.1335468558366784
iYO844,1.875,21.0,0.1335468558366784
iYO844,1.875,21.75,0.1335468558366784
iYO844,1.875,22.5,0.1335468558366784
iYO844,1.875,23.25,0.1335468558366784
iYO844,1.875,24.0,0.1335468558366784
iYO844,1.875,24.75,0.1335468558366784
iYO844,1.875,25.5,0.1335468558366784
iYO844,1.875,26.25,0.1335468558366784
iYO844,1.875,27.0,0.1335468558366784
iYO844,1.875,27.75,0.1335468558366784
iYO844,1.875,28.5,0.1335468558366784
iYO844,1.875,29.25,0.1335468558366784
iYO844,1.875,30.0,0.1335468558366784
iYO844,2.25,0.0,0.0
iYO844,2.25,0.75,0.0
iYO844,2.25,1.5,0.016705553699888256
iYO844,2.25,2.25,0.04176388424972057
iYO844,2.25,3.0,0.06682221479955291
iYO844,2.25,3.75,0.0906005183350374
iYO844,2.25,4.5,0.10805846546497373
iYO844,2.25,5.25,0.12478179940598157
iYO844,2.25,6.0,0.1415051333469894
iYO844,2.25,6.75,0.15822846728799725
iYO844,2.25,7.5,0.16693356979584795
iYO844,2.25,8.25,0.16693356979584797
iYO844,2.25,9.0,0.16693356979584797
iYO844,2.25,9.75,0.16693356979584797
iYO844,2.25,10.5,0.16693356979584797
iYO844,2.25,11.25,0.16693356979584797
iYO844,2.25,12.0,0.16693356979584797
iYO844,2.25,12.75,0.16693356979584797
iYO844,2.25,13.5,0.16693356979584797
iYO844,2.25,14.25,0.16693356979584797
iYO844,2.25,15.0,0.16693356979584797
iYO844,2.25,15.75,0.16693356979584797
iYO844,2.25,16.5,0.16693356979584797
iYO844,2.25,17.25,0.16693356979584797
iYO844,2.25,18.0,0.16693356979584797
iYO844,2.25,18.75,0.16693356979584797
iYO844,2.25,19.5,0.16693356979584797
iYO844,2.25,20.25,0.16693356979584797
iYO844,2.25,21.0,0.16693356979584797
iYO844,2.25,21.75,0.16693356979584797
iYO844,2.25,22.5,0.16693356979584797
iYO844,2.25,23.25,0.16693356979584797
iYO844,2.25,24.0,0.16693356979584797
iYO844,2.25,24.75,0.16693356979584797
iYO844,2.25,25.5,0.16693356979584797
iYO844,2.25,26.25,0.16693356979584797
iYO844,2.25,27.0,0.16693356979584797
iYO844,2.25,27.75,0.16693356979584797
iYO844,2.25,28.5,0.16693356979584797
iYO844,2.25,29.25,0.16693356979584797
iYO844,2.25,30.0,0.16693356979584797
iYO844,2.625,0.0,0.0
iYO844,2.625,0.75,0.0
iYO844,2.625,1.5,0.02227407159985102
iYO844,2.625,2.25,0.04733240214968331
iYO844,2.625,3.0,0.07239073269951565
iYO844,2.625,3.75,0.09744906324934799
iYO844,2.625,4.5,0.11891318031473648
iYO844,2.625,5.25,0.1363594921343717
iYO844,2.625,6.0,0.1530828260753796
iYO844,2.625,6.75,0.1698061600163874
iYO844,2.625,7.5,0.18652949395739524
iYO844,2.625,8.25,0.20032028375501768
iYO844,2.625,9.0,0.20032028375501765
iYO844,2.625,9.75,0.20032028375501765
iYO844,2.625,10.5,0.20032028375501765
iYO844,2.625,11.25,0.20032028375501765
iYO844,2.625,12.0,0.20032028375501765
iYO844,2.625,12.75,0.20032028375501765
iYO844,2.625,13.5,0.20032028375501765
iYO844,2.625,14.25,0.20032028375501765
iYO844,2.625,15.0,0.20032028375501765
iYO844,2.625,15.75,0.20032028375501765
iYO844,2.625,16.5,0.20032028375501765
iYO844,2.625,17.25,0.20032028375501765
iYO844,2.625,18.0,0.20032028375501765
iYO844,2.625,18.75,0.20032028375501765
iYO844,2.625,19.5,0.20032028375501765
iYO844,2.625,20.25,0.20032028375501765
iYO844,2.625,21.0,0.20032028375501765
iYO844,2.625,21.75,0.20032028375501765
iYO844,2.625,22.5,0.20032028375501765
iYO844,2.625,23.25,0.20032028375501765
iYO844,2.625,24.0,0.20032028375501765
iYO844,2.625,24.75,0.20032028375501765
iYO844,2.625,25.5,0.20032028375501765
iYO844,2.625,26.25,0.20032028375501765
iYO844,2.625,27.0,0.20032028375501765
iYO844,2.625,27.75,0.20032028375501765
iYO844,2.625,28.5,0.20032028375501765
iYO844,2.625,29.25,0.20032028375501765
iYO844,2.625,30.0,0.20032028375501765
iYO844,3.0,0.0,0.0
iYO844,3.0,0.75,0.0027842589499813826
iYO844,3.0,1.5,0.027842589499813716
iYO844,3.0,2.25,0.05290092004964607
iYO844,3.0,3.0,0.0779592505994784
iYO844,3.0,3.75,0.10301758114931076
iYO844,3.0,4.5,0.1280759116991431
iYO844,3.0,5.25,0.14722584229443472
iYO844,3.0,6.0,0.16466051880376972
iYO844,3.0,6.75,0.1813838527447779
iYO844,3.0,7.5,0.19810718668578486
iYO844,3.0,8.25,0.21483052062679275
iYO844,3.0,9.0,0.23155385456780125
iYO844,3.0,9.75,0.23370699771418663
iYO844,3.0,10.5,0.23370699771418726
iYO844,3.0,11.25,0.23370699771418726
iYO844,3.0,12.0,0.23370699771418726
iYO844,3.0,12.75,0.23370699771418726
iYO844,3.0,13.5,0.23370699771418726
iYO844,3.0,14.25,0.23370699771418726
iYO844,3.0,15.0,0.23370699771418726
iYO844,3.0,15.75,0.23370699771418726
iYO844,3.0,16.5,0.23370699771418726
iYO844,3.0,17.25,0.23370699771418726
iYO844,3.0,18.0,0.23370699771418726
iYO844,3.0,18.75,0.23370699771418726
iYO844,3.0,19.5,0.23370699771418726
iYO844,3.0,20.25,0.23370699771418726
iYO844,3.0,21.0,0.23370699771418726
iYO844,3.0,21.75,0.23370699771418726
iYO844,3.0,22.5,0.23370699771418726
iYO844,3.0,23.25,0.23370699771418726
iYO844,3.0,24.0,0.23370699771418726
iYO844,3.0,24.75,0.23370699771418726
iYO844,3.0,25.5,0.23370699771418726
iYO844,3.0,26.25,0.23370699771418726
iYO844,3.0,27.0,0.23370699771418726
iYO844,3.0,27.75,0.23370699771418726
iYO844,3.0,28.5,0.23370699771418726
iYO844,3.0,29.25,0.23370699771418726
iYO844,3.0,30.0,0.23370699771418726
iYO844,3.375,0.0,0.0
iYO844,3.375,0.75,0.008352776849944114
iYO844,3.375,1.5,0.03341110739977645
iYO844,3.375,2.25,0.058469437949608793
iYO844,3.375,3.0,0.08352776849944113
iYO844,3.375,3.75,0.10858609904927345
iYO844,3.375,4.5,0.1336444295991058
iYO844,3.375,5.25,0.1580361314139582
iYO844,3.375,6.0,0.17553850427413478
iYO844,3.375,6.75,0.19296154547316746
iYO844,3.375,7.5,0.20968487941417538
iYO844,3.375,8.25,0.22640821335518324
iYO844,3.375,9.0,0.24313154729619102
iYO844,3.375,9.75,0.2598548812371989
iYO844,3.375,10.5,0.26709371167335677
iYO844,3.375,11.25,0.2670937116733568
iYO844,3.375,12.0,0.2670937116733568
iYO844,3.375,12.75,0.2670937116733568
iYO844,3.375,13.5,0.2670937116733568
iYO844,3.375,14.25,0.2670937116733568
iYO844,3.375,15.0,0.2670937116733568
iYO844,3.375,15.75,0.2670937116733568
iYO844,3.375,16.5,0.2670937116733568
iYO844,3.375,17.25,0.2670937116733568
iYO844,3.375,18.0,0.2670937116733568
iYO844,3.375,18.75,0.2670937116733568
iYO844,3.375,19.5,0.2670937116733568
iYO844,3.375,20.25,0.2670937116733568
iYO844,3.375,21.0,0.2670937116733568
iYO844,3.375,21.75,0.2670937116733568
iYO844,3.375,22.5,0.2670937116733568
iYO844,3.375,23.25,0.2670937116733568
iYO844,3.375,24.0,0.2670937116733568
