Model,Glucose_uptake,Growth_rate
ecBSU1,4.5,0.3535641901005854
ecBSU1,5.0,0.3950269416049186
ecBSU1,5.5,0.43648969310925173
ecBSU1,6.0,0.4779524446135846
ecBSU1,6.5,0.5194151961179179
ecBSU1,7.0,0.5545565164493024
ecBSU1,7.5,0.5545565164493027
ecBSU1,8.0,0.5545565164493027
ecBSU1,8.5,0.5545565164493027
ecBSU1,9.0,0.5545565164493027
ecBSU1,9.5,0.5545565164493027
ecBSU1,10.0,0.5545565164493027
ecBSU1,10.5,0.5545565164493027
ecBSU1,11.0,0.5545565164493027
ecBSU1,11.5,0.5545565164493027
ecBSU1,12.0,0.5545565164493027
ecBSU1,12.5,0.5545565164493027
ecBSU1,13.0,0.5545565164493027
ecBSU1,13.5,0.5545565164493027
ecBSU1,14.0,0.5545565164493027
ecBSU1,14.5,0.5545565164493027
ecBSU1,15.0,0.5545565164493027
Submodel,-0.0,0.0
Submodel,0.5,0.030582764979326982
Submodel,1.0,0.07636534728371006
Submodel,1.5,0.1221479295880923
Submodel,2.0,0.1679305118924744
Submodel,2.5,0.2137130941968567
Submodel,3.0,0.2594956765012403
Submodel,3.5,0.30527825880562576
Submodel,4.0,0.35106084111000435
Submodel,4.5,0.39684342341438555
Submodel,5.0,0.44262600571876654
Submodel,5.5,0.488408588023148
Submodel,6.0,0.5341911703275338
Submodel,6.5,0.5799737526319173
Submodel,7.0,0.6242116986510672
Submodel,7.5,0.6242116986510731
Submodel,8.0,0.6242116986510731
Submodel,8.5,0.6242116986510731
Submodel,9.0,0.6242116986510731
Submodel,9.5,0.6242116986510731
Submodel,10.0,0.6242116986510731
Submodel,10.5,0.6242116986510731
Submodel,11.0,0.6242116986510731
Submodel,11.5,0.6242116986510731
Submodel,12.0,0.6242116986510731
Submodel,12.5,0.6242116986510731
Submodel,13.0,0.6242116986510731
Submodel,13.5,0.6242116986510731
Submodel,14.0,0.6242116986510731
Submodel,14.5,0.6242116986510731
Submodel,15.0,0.6242116986510731
